id;text;irony;sarcasm;topic
595524450503815168;-Prendere i libri in copisteria-Fare la spesa-Spararmi in bocca-Farmi la doccia;1;0;TWITA
578468106504433665;...comunque con una crociera Costa se non ti ammazza Schettino prima ti spara il terrorista dopo...;1;0;HSC
577791521174466560;"“<MENTION_1> Ogni ragazza: \""non sono una ragazza gelosa.\""*3 minuti dopo*\""CHI CAZZO È QUELLA PUTTANA?\""”";1;1;TWITA
507464919303069697;“La buona scuola”? Fa gli errori di grammatica <URL>;0;0;TW-BS
839896135619727362;"“Vi hanno sfrattato? Andate al campo rom in un container”:3 famiglie italiane umiliate a #Roma <URL> &gt;Ma li VOTATE ancora?";0;0;HSC
852138571842682880;<MENTION_1> <MENTION_2> Bene,ricomincia la distruzione dei Porci terroristi;0;0;HSC
509385889387388928;<MENTION_1> domani #protesta10settembre vs linee guida de #labuonascuola ke #passodopopasso vuole fuori #docenti di GI dopo anni di sfruttamento;0;0;TW-BS
574548641362415618;<MENTION_1> poverina la nostra <MENTION_2> allora può permettersi di ospitare qualche immigrato anzi qualche risorsa per l'Italia :-D;1;1;HSC
526605761196339200;"<MENTION_1> <MENTION_2> Assumere 150mila prof, 80mila senza cattedra, il 43% senza abilitazione x inglese non è ""buona scuola"".";0;0;TW-BS
848181894504206336;<MENTION_1> <MENTION_2> <MENTION_3> Ma forse no se retwitti immigrato ha fatto,  immigrato ha uccido come se lo… <URL>;0;0;HSC
525522294186467328;<MENTION_1> <MENTION_2> una scuola vera che cerchiamo di costruire ogni giorno anche <MENTION_3> <MENTION_4> <MENTION_5> #labuonascuola;0;0;TW-BS
530272895243939841;<MENTION_1> e,magari,tutti promossi.Evviva la buona scuola! Cosi' avremo futuri lavoratori che vorranno fare tutti il medico(poveri noi)!;1;0;TW-BS
509831657072119808;<MENTION_1> immagine perfetta ed esplicita che descrive la realtà della'' buona scuola'' a renzopoli ,purtroppo!;1;0;TW-BS
572882732633595904;<MENTION_1> scusa hai ancora posti liberi nella app di braccialetti rossi?;0;0;TWITA
