id	text	misogynous	aggressiveness
5001	Aveva voglia di gridare tutta la mia rabbia ma quel maledetto nodo in gola bloccava tutto. Ogni urlo si trasformava in lacrime. Quanto odiava piangere, non lo faceva mai. Guardando le luci della notte si addormentò sfinita con una musica dolce che le faceva da ninna nannaLaila	0	0
5002	Lei è acida perché non ha figli penso che darebbe fastidio a qualsiasi donna. Che schifo ... #TemptationIsland	0	0
5003	Ma quanto è brutto sentirsi dire dal proprio fidanzato che sei acida solo perché non hai avuto figli.MA TU CHE CAZZO NE SAI SE ANTONELLA PER QUESTA COSA GIÀ NE SOFFRE DI SUO MA COMECTI PERMETTI A DISTRUGGERE L’EMOTIVITÀ DI UNA PERSONA MERDA RARA. #TemptationIsland	0	0
5004	Per chi ci facciamo venire il groppo in gola stasera? #techetechete	0	0
5005	<MENTION_1> Ti sborro io	1	0
5006	<MENTION_1> in ginocchio con te che comandi il ritmo del pompino e decidi quando sborrarmi in gola, perchè un pompino deve sempre finire con l'ingoio	0	0
5007	La cena è pronta. Lo squalo balena affonda nei banchi di pesce per saziare la sua immensa mole. Non è un abitudine frequente visto che filtra dall'acqua i microorganismi come le balene.	0	0
5008	ho appena letto quello che ha pubblicato Hazza. Sono fuori con una mia amica e nulla, non riesco a smettere di piangere, ho un nodo in gola, sto di merda e mi mancano i ragazzi. Comunque sapevo che Harry avrebbe fatto qualcosa di fantastico e nulla, mi ha	0	0
5009	Ma ci sono sempre stati tutti sti tuit di gente che scopa, lecca, tira schiaffi sul culo qui sopra? Oh in sto periodo uno via l'altro proprio.. Ma se siete tanto bravi... Che cazzo stare qua a scrivere? ... Datevi da fare e non rompete i coglioni a noi.	0	0
5010	<MENTION_1> Che troia che sei &#x2764;️&#x1f60d;	1	0
5011	Comunque le pringles più buone sono quelle alla panna acida e cipolla	0	0
5012	<MENTION_1> Che due tette strabilianti porcamadonna lurida!!!	1	0
5013	ora come una vera psicopatica andrò a contare tutti i seguiti si harry così vedo se la storia del 329 è vera &#x1f643;	0	0
